"","Id","TotalSteps","TotalDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutesAsleep","TotalTimeInBed","WeightPounds"
"59",1624580081,1727,1.12000000476837,0,0,1.12000000476837,0.00999999977648258,0,0,102,1338,1341,NA,NA,NA
"60",1624580081,2104,1.37000000476837,0,0,1.37000000476837,0,0,0,182,1258,1474,NA,NA,NA
"61",1624580081,3427,2.23000001907349,0,0,2.22000002861023,0,0,0,152,1288,1427,NA,NA,NA
"62",1624580081,1732,1.12999999523163,0,0,1.12999999523163,0,0,0,91,1349,1328,NA,NA,NA
"63",1644430081,10694,7.76999998092651,0.140000000596046,2.29999995231628,5.32999992370605,0,2,51,256,1131,3199,NA,NA,NA
"64",1644430081,8001,5.82000017166138,2.27999997138977,0.899999976158142,2.64000010490417,0,30,16,135,1259,2902,NA,NA,NA
"65",1644430081,11037,8.02000045776367,0.360000014305115,2.55999994277954,5.09999990463257,0,5,58,252,1125,3226,NA,NA,NA
"66",1644430081,5263,3.82999992370605,0.219999998807907,0.150000005960464,3.45000004768372,0,3,4,170,1263,2750,NA,NA,NA
"67",1644430081,15300,11.1199998855591,4.09999990463257,1.87999999523163,5.09000015258789,0,51,42,212,1135,3493,NA,NA,NA
"68",1644430081,8757,6.36999988555908,2.25,0.569999992847443,3.54999995231628,0,29,13,186,1212,3011,NA,NA,NA
"69",1644430081,7132,5.19000005722046,1.07000005245209,1.66999995708466,2.45000004768372,0,15,33,121,1271,2806,NA,NA,NA
"70",1644430081,11256,8.18000030517578,0.360000014305115,2.52999997138977,5.30000019073486,0,5,58,278,1099,3300,NA,NA,NA
"71",1644430081,2436,1.76999998092651,0,0,1.75999999046326,0.00999999977648258,0,0,125,1315,2430,NA,NA,NA
"72",1644430081,1223,0.889999985694885,0,0,0.879999995231628,0.00999999977648258,0,0,38,1402,2140,NA,NA,NA
"73",1644430081,3673,2.67000007629395,0,0,2.66000008583069,0.00999999977648258,0,0,86,1354,2344,NA,NA,NA
"74",1644430081,6637,4.82999992370605,0,0.579999983310699,4.25,0,0,15,160,1265,2677,NA,NA,NA
"75",1644430081,3321,2.41000008583069,0,0,2.41000008583069,0,0,0,89,1351,2413,NA,NA,NA
"76",1644430081,3580,2.59999990463257,0.589999973773956,0.0599999986588955,1.95000004768372,0,8,1,94,1337,2497,NA,NA,NA
"77",1644430081,9919,7.21000003814697,0.800000011920929,1.72000002861023,4.69000005722046,0,11,41,223,1165,3123,NA,NA,NA
"78",1644430081,3032,2.20000004768372,0,0,2.20000004768372,0,0,0,118,1322,2489,NA,NA,NA
"79",1644430081,9405,6.84000015258789,0.200000002980232,2.3199999332428,4.30999994277954,0,3,53,227,1157,3108,NA,NA,NA
"80",1644430081,3176,2.30999994277954,0,0,2.30999994277954,0,0,0,120,1193,2498,119,127,NA
"81",1644430081,18213,13.2399997711182,0.629999995231628,3.14000010490417,9.46000003814697,0,9,71,402,816,3846,124,142,NA
"82",1644430081,6132,4.46000003814697,0.239999994635582,0.990000009536743,3.23000001907349,0,3,24,146,908,2696,NA,NA,NA
"83",1644430081,9167,6.65999984741211,0.879999995231628,0.810000002384186,4.96999979019165,0.00999999977648258,12,19,155,1254,2799,NA,NA,NA
"84",1644430081,1329,0.970000028610229,0,0,0.949999988079071,0.00999999977648258,0,0,49,713,1276,NA,NA,NA
"85",1644430081,3758,2.73000001907349,0.0700000002980232,0.310000002384186,2.34999990463257,0,1,7,148,682,2580,796,961,NA
"86",1644430081,12850,9.34000015258789,0.720000028610229,4.09000015258789,4.53999996185303,0,10,94,221,1115,3324,NA,NA,NA
"87",1644430081,2309,1.67999994754791,0,0,1.6599999666214,0.0199999995529652,0,0,52,1388,2222,NA,NA,NA
"88",1644430081,4363,3.19000005722046,0.519999980926514,0.540000021457672,2.13000011444092,0.00999999977648258,6,12,81,1341,2463,NA,NA,NA
"89",1644430081,9787,7.11999988555908,0.819999992847443,0.270000010728836,6.01000022888184,0.0199999995529652,11,6,369,1054,3328,NA,NA,NA
"90",1644430081,13372,9.72000026702881,3.25999999046326,0.790000021457672,5.67000007629395,0.00999999977648258,41,17,243,1139,3404,NA,NA,NA
"91",1644430081,6724,4.8899998664856,0,0,4.88000011444092,0,0,0,295,991,2987,137,154,NA
"92",1644430081,6643,4.82999992370605,2.39000010490417,0.349999994039536,2.08999991416931,0.00999999977648258,32,6,303,1099,3008,NA,NA,NA
"93",1844505072,6697,4.42999982833862,0,0,4.42999982833862,0,0,0,339,1101,2030,NA,NA,NA
"94",1844505072,4929,3.25999999046326,0,0,3.25999999046326,0,0,0,248,1192,1860,NA,NA,NA
"95",1844505072,7937,5.25,0,0,5.23000001907349,0,0,0,373,843,2130,NA,NA,NA
"96",1844505072,3844,2.53999996185303,0,0,2.53999996185303,0,0,0,176,527,1725,644,961,NA
"97",1844505072,3414,2.25999999046326,0,0,2.25999999046326,0,0,0,147,1293,1657,NA,NA,NA
"98",1844505072,4525,2.99000000953674,0.140000000596046,0.259999990463257,2.58999991416931,0,2,8,199,1231,1793,NA,NA,NA
"99",1844505072,4597,3.03999996185303,0,0.479999989271164,2.55999994277954,0,0,12,217,1211,1814,NA,NA,NA
"100",1844505072,197,0.129999995231628,0,0,0.129999995231628,0,0,0,10,1430,1366,NA,NA,NA
"101",1844505072,8,0.00999999977648258,0,0,0.00999999977648258,0,0,0,1,1439,1349,NA,NA,NA
"102",1844505072,8054,5.32000017166138,0.119999997317791,0.519999980926514,4.67999982833862,0,2,13,308,1117,2062,NA,NA,NA
"103",1844505072,5372,3.54999995231628,0,0,3.54999995231628,0,0,0,220,1220,1827,NA,NA,NA
"104",1844505072,3570,2.35999989509583,0,0,2.35999989509583,0,0,0,139,1301,1645,NA,NA,NA
"108",1844505072,4,0,0,0,0,0,0,0,1,1439,1348,NA,NA,NA
"109",1844505072,6907,4.57000017166138,0,0,4.55999994277954,0,0,0,302,1138,1992,NA,NA,NA
"110",1844505072,4920,3.25,0,0,3.25,0,0,0,247,1082,1856,NA,NA,NA
"111",1844505072,4014,2.67000007629395,0,0,2.65000009536743,0,0,0,184,218,1763,722,961,NA
"112",1844505072,2573,1.70000004768372,0,0.259999990463257,1.45000004768372,0,0,7,75,585,1541,590,961,NA
"117",1844505072,4059,2.6800000667572,0,0,2.6800000667572,0,0,0,184,1256,1742,NA,NA,NA
"118",1844505072,2080,1.37000000476837,0,0,1.37000000476837,0,0,0,87,1353,1549,NA,NA,NA
"119",1844505072,2237,1.48000001907349,0,0,1.48000001907349,0,0,0,120,1320,1589,NA,NA,NA
"120",1844505072,44,0.0299999993294477,0,0,0.0299999993294477,0,0,0,2,1438,1351,NA,NA,NA
"124",1927972279,678,0.469999998807907,0,0,0.469999998807907,0,0,0,55,734,2220,750,775,NA
"125",1927972279,356,0.25,0,0,0.25,0,0,0,32,986,2151,398,422,294.317120016975
"126",1927972279,2163,1.5,0,0.400000005960464,1.10000002384186,0,0,9,88,1292,2383,NA,NA,NA
"127",1927972279,980,0.680000007152557,0,0,0.680000007152557,0,0,0,51,941,2221,475,499,NA
"130",1927972279,244,0.170000001788139,0,0,0.170000001788139,0,0,0,17,1423,2111,NA,NA,NA
"134",1927972279,149,0.100000001490116,0,0,0.100000001490116,0,0,0,10,1430,2093,NA,NA,NA
"135",1927972279,2945,2.03999996185303,0,0,2.03999996185303,0,0,0,145,1295,2499,NA,NA,NA
"136",1927972279,2090,1.45000004768372,0.0700000002980232,0.239999994635582,1.13999998569489,0,1,6,75,1358,2324,NA,NA,NA
"137",1927972279,152,0.109999999403954,0,0,0.109999999403954,0,0,0,12,1303,2100,NA,NA,NA
"138",1927972279,3761,2.59999990463257,0,0,2.59999990463257,0,0,0,192,1058,2638,296,315,NA
"140",1927972279,1675,1.1599999666214,0,0,1.1599999666214,0,0,0,95,1167,2351,166,178,NA
"143",1927972279,2704,1.87000000476837,1.00999999046326,0.0299999993294477,0.829999983310699,0,14,1,70,1355,2411,NA,NA,NA
"147",1927972279,3790,2.61999988555908,1.1599999666214,0.300000011920929,1.1599999666214,0,16,8,94,1322,2505,NA,NA,NA
"148",1927972279,1326,0.920000016689301,0.730000019073486,0,0.180000007152557,0,10,0,17,1413,2195,NA,NA,NA
"149",1927972279,1786,1.24000000953674,0,0,1.24000000953674,0,0,0,87,1353,2338,NA,NA,NA
"151",1927972279,2091,1.45000004768372,0,0,1.45000004768372,0,0,0,108,1332,2383,NA,NA,NA
"152",1927972279,1510,1.03999996185303,0,0,1.03999996185303,0,0,0,48,1392,2229,NA,NA,NA
"155",2022484408,11875,8.34000015258789,3.30999994277954,0.769999980926514,4.26000022888184,0,42,14,227,1157,2390,NA,NA,NA
"156",2022484408,12024,8.5,2.99000000953674,0.100000001490116,5.40999984741211,0,43,5,292,1100,2601,NA,NA,NA
"157",2022484408,10690,7.5,2.48000001907349,0.209999993443489,4.82000017166138,0,32,3,257,1148,2312,NA,NA,NA
"158",2022484408,11034,8.02999973297119,1.94000005722046,0.310000002384186,5.78000020980835,0,27,9,282,1122,2525,NA,NA,NA
"159",2022484408,10100,7.09000015258789,3.15000009536743,0.550000011920929,3.39000010490417,0,41,11,151,1237,2177,NA,NA,NA
"160",2022484408,15112,11.3999996185303,3.86999988555908,0.660000026226044,6.88000011444092,0,28,29,331,1052,2782,NA,NA,NA
"161",2022484408,14131,10.0699996948242,3.64000010490417,0.119999997317791,6.30000019073486,0,48,3,311,1078,2770,NA,NA,NA
"162",2022484408,11548,8.52999973297119,3.28999996185303,0.239999994635582,5,0,31,7,250,1152,2489,NA,NA,NA
"163",2022484408,15112,10.6700000762939,3.33999991416931,1.92999994754791,5.40000009536743,0,48,63,276,1053,2897,NA,NA,NA
"164",2022484408,12453,8.73999977111816,3.32999992370605,1.11000001430511,4.30999994277954,0,104,53,255,1028,3158,NA,NA,NA
"165",2022484408,12954,9.32999992370605,4.42999982833862,0.419999986886978,4.46999979019165,0,52,10,273,1105,2638,NA,NA,NA
"166",2022484408,6001,4.21000003814697,0,0,4.21000003814697,0,0,0,249,1191,2069,NA,NA,NA
"167",2022484408,13481,10.2799997329712,4.55000019073486,1.14999997615814,4.57999992370605,0,37,26,216,1161,2529,NA,NA,NA
"168",2022484408,11369,8.01000022888184,3.32999992370605,0.219999998807907,4.46000003814697,0,44,8,217,1171,2470,NA,NA,NA
"169",2022484408,10119,7.19000005722046,1.42999994754791,0.660000026226044,5.1100001335144,0,55,24,275,1086,2793,NA,NA,NA
"170",2022484408,10159,7.13000011444092,1.03999996185303,0.970000028610229,5.11999988555908,0,19,20,282,1119,2463,NA,NA,NA
"171",2022484408,10140,7.11999988555908,0.409999996423721,1.33000004291534,5.3899998664856,0,6,20,291,1123,2296,NA,NA,NA
"172",2022484408,10245,7.19000005722046,0.479999989271164,1.21000003814697,5.5,0,21,40,281,1098,2611,NA,NA,NA
"173",2022484408,18387,12.9099998474121,0.939999997615814,1.39999997615814,10.5699996948242,0,13,23,361,1043,2732,NA,NA,NA
"174",2022484408,10538,7.40000009536743,1.94000005722046,0.959999978542328,4.5,0,25,28,245,1142,2380,NA,NA,NA
"175",2022484408,12798,8.97999954223633,2.22000002861023,1.21000003814697,5.55999994277954,0,57,28,271,1084,2797,NA,NA,NA
"176",2022484408,13272,9.31999969482422,4.17999982833862,1.14999997615814,3.99000000953674,0,58,25,224,1133,2544,NA,NA,NA
"177",2022484408,9117,6.40999984741211,1.27999997138977,0.670000016689301,4.44000005722046,0,16,16,236,728,1853,NA,NA,NA
"178",2022484408,10379,7.28999996185303,2.60999989509583,0.340000003576279,4.32999992370605,0,36,8,277,1119,2473,NA,NA,NA
"179",2022484408,12183,8.73999977111816,3.99000000953674,0.46000000834465,4.28000020980835,0,72,14,250,1104,2752,NA,NA,NA
"180",2022484408,11768,8.28999996185303,2.50999999046326,0.930000007152557,4.84999990463257,0,36,27,272,1105,2649,NA,NA,NA
"181",2022484408,11895,8.35000038146973,2.78999996185303,0.860000014305115,4.69999980926514,0,55,20,253,1112,2609,NA,NA,NA
"182",2022484408,10227,7.17999982833862,1.87000000476837,0.670000016689301,4.6399998664856,0,24,17,295,1104,2498,NA,NA,NA
"183",2022484408,6708,4.71000003814697,1.61000001430511,0.0799999982118607,3.01999998092651,0,20,2,149,1269,1995,NA,NA,NA
"184",2022484408,3292,2.30999994277954,0,0,2.30999994277954,0,0,0,135,1305,1848,NA,NA,NA
"185",2022484408,13379,9.39000034332275,2.11999988555908,1.62999999523163,5.6399998664856,0,35,47,297,1061,2709,NA,NA,NA
"186",2026352035,4414,2.74000000953674,0.189999997615814,0.349999994039536,2.20000004768372,0,3,8,181,706,1459,503,546,NA
"187",2026352035,4993,3.09999990463257,0,0,3.09999990463257,0,0,0,238,663,1521,531,565,NA
"188",2026352035,3335,2.0699999332428,0,0,2.04999995231628,0,0,0,197,653,1431,545,568,NA
"189",2026352035,3821,2.36999988555908,0,0,2.36999988555908,0,0,0,188,687,1444,523,573,NA
"190",2026352035,2547,1.58000004291534,0,0,1.58000004291534,0,0,0,150,728,1373,524,567,NA
"191",2026352035,838,0.519999980926514,0,0,0.519999980926514,0,0,0,60,1053,1214,437,498,NA
"192",2026352035,3325,2.05999994277954,0,0,2.05999994277954,0,0,0,182,1062,1419,NA,NA,NA
"193",2026352035,2424,1.5,0,0,1.5,0,0,0,141,785,1356,498,540,NA
"194",2026352035,7222,4.48000001907349,0,0,4.48000001907349,0,0,0,327,623,1667,461,510,NA
"195",2026352035,2467,1.52999997138977,0,0,1.52999997138977,0,0,0,153,749,1370,477,514,NA
"196",2026352035,2915,1.80999994277954,0,0,1.80999994277954,0,0,0,162,712,1399,520,545,NA
"197",2026352035,12357,7.71000003814697,0,0,7.71000003814697,0,0,0,432,458,1916,522,554,NA
"198",2026352035,3490,2.16000008583069,0,0,2.16000008583069,0,0,0,164,704,1401,555,591,NA
"199",2026352035,6017,3.73000001907349,0,0,3.73000001907349,0,0,0,260,821,1576,506,531,NA
"200",2026352035,5933,3.6800000667572,0,0,3.6800000667572,0,0,0,288,1018,1595,NA,NA,NA
"201",2026352035,6088,3.76999998092651,0,0,3.76999998092651,0,0,0,286,586,1593,508,545,NA
"202",2026352035,6375,3.95000004768372,0,0,3.95000004768372,0,0,0,331,626,1649,513,545,NA
"203",2026352035,7604,4.71000003814697,0,0,4.71000003814697,0,0,0,352,492,1692,490,510,NA
"204",2026352035,4729,2.9300000667572,0,0,2.9300000667572,0,0,0,233,594,1506,573,607,NA
"205",2026352035,3609,2.27999997138977,0,0,2.27999997138977,0,0,0,191,716,1447,527,546,NA
"206",2026352035,254,0.159999996423721,0,0,0.159999996423721,0,0,0,17,1002,1141,357,380,NA
"207",2026352035,8580,5.32000017166138,0,0,5.32000017166138,0,0,0,330,569,1698,523,553,NA
"208",2026352035,8891,5.51000022888184,0,0,5.51000022888184,0,0,0,343,330,1364,456,485,NA
"209",2026352035,7018,4.34999990463257,0,0,4.34999990463257,0,0,0,355,716,1690,511,543,NA
"210",2026352035,5992,3.72000002861023,0,0,3.72000002861023,0,0,0,304,981,1604,NA,NA,NA
"211",2026352035,6564,4.07000017166138,0,0,4.07000017166138,0,0,0,345,530,1658,538,560,NA
"212",2026352035,12167,7.53999996185303,0,0,7.53999996185303,0,0,0,475,479,1926,468,485,NA
"213",2026352035,8198,5.07999992370605,0,0,5.07999992370605,0,0,0,383,511,1736,524,548,NA
"214",2026352035,4193,2.59999990463257,0,0,2.59999990463257,0,0,0,229,665,1491,511,521,NA
"215",2026352035,5528,3.45000004768372,0,0,3.45000004768372,0,0,0,258,610,1555,541,568,NA
"216",2026352035,10685,6.61999988555908,0,0,6.59999990463257,0,0,0,401,543,1869,531,556,NA
"217",2320127002,10725,7.48999977111816,1.16999995708466,0.310000002384186,6.01000022888184,0,13,9,306,1112,2124,NA,NA,NA
"218",2320127002,7275,4.90000009536743,0,0,4.90000009536743,0,0,0,335,1105,2003,NA,NA,NA
"219",2320127002,3973,2.6800000667572,0,0,2.6800000667572,0,0,0,191,1249,1696,NA,NA,NA
"220",2320127002,5205,3.50999999046326,0,0,3.50999999046326,0,0,0,245,1195,1801,NA,NA,NA
"221",2320127002,5057,3.41000008583069,0,0,3.40000009536743,0,0,0,195,1245,1724,NA,NA,NA
"222",2320127002,6198,4.17999982833862,0,0,4.17999982833862,0,0,0,249,1191,1852,NA,NA,NA
"223",2320127002,6559,4.42000007629395,0,0.259999990463257,4.1399998664856,0,0,7,260,1173,1905,NA,NA,NA
"224",2320127002,5997,4.03999996185303,0,0.379999995231628,3.66000008583069,0,0,11,228,1201,1811,NA,NA,NA
"225",2320127002,7192,4.84999990463257,0,0.490000009536743,4.34000015258789,0,0,11,283,1146,1922,NA,NA,NA
"226",2320127002,3404,2.28999996185303,0.0599999986588955,0.419999986886978,1.80999994277954,0,1,10,127,1302,1610,NA,NA,NA
"227",2320127002,5583,3.75999999046326,0,0,3.75999999046326,0,0,0,266,1174,1851,NA,NA,NA
"228",2320127002,5079,3.42000007629395,0,0,3.42000007629395,0,0,0,242,1129,1804,61,69,NA
"229",2320127002,4165,2.80999994277954,0,0,2.79999995231628,0,0,0,204,1236,1725,NA,NA,NA
"230",2320127002,3588,2.42000007629395,0.230000004172325,0.200000002980232,1.99000000953674,0,3,5,152,1280,1654,NA,NA,NA
"231",2320127002,3409,2.29999995231628,0,0,2.29999995231628,0,0,0,147,1293,1632,NA,NA,NA
"232",2320127002,1715,1.1599999666214,0,0,1.1599999666214,0,0,0,82,1358,1481,NA,NA,NA
"233",2320127002,1532,1.02999997138977,0,0,1.02999997138977,0,0,0,76,1364,1473,NA,NA,NA
"234",2320127002,924,0.620000004768372,0,0,0.620000004768372,0,0,0,45,1395,1410,NA,NA,NA
"235",2320127002,4571,3.07999992370605,0,0,3.0699999332428,0,0,0,234,1206,1779,NA,NA,NA
"236",2320127002,772,0.519999980926514,0,0,0.519999980926514,0,0,0,40,1400,1403,NA,NA,NA
"237",2320127002,6227,4.19999980926514,0,0,4.19999980926514,0,0,0,290,1150,1899,NA,NA,NA
"238",2320127002,6424,4.32999992370605,0,0,4.32999992370605,0,0,0,300,1140,1903,NA,NA,NA
"239",2320127002,2661,1.78999996185303,0,0,1.78999996185303,0,0,0,128,830,1125,NA,NA,NA
"240",2320127002,3634,2.45000004768372,0.360000014305115,0.209999993443489,1.87999999523163,0,5,6,123,1306,1613,NA,NA,NA
"241",2320127002,7443,5.01999998092651,1.49000000953674,0.370000004768372,3.16000008583069,0,20,10,206,1204,1878,NA,NA,NA
"242",2320127002,1201,0.810000002384186,0,0,0.810000002384186,0,0,0,52,1388,1426,NA,NA,NA
"243",2320127002,5202,3.50999999046326,0,0.389999985694885,3.10999989509583,0,0,11,223,1206,1780,NA,NA,NA
"244",2320127002,4878,3.28999996185303,0,0,3.28999996185303,0,0,0,204,1236,1742,NA,NA,NA
"245",2320127002,7379,4.96999979019165,0,0,4.96999979019165,0,0,0,319,1121,1972,NA,NA,NA
"246",2320127002,5161,3.48000001907349,0,0,3.47000002861023,0,0,0,247,1193,1821,NA,NA,NA
"247",2320127002,3090,2.07999992370605,0,0,2.07999992370605,0,0,0,145,1295,1630,NA,NA,NA
"248",2347167796,10113,6.82999992370605,2,0.620000004768372,4.19999980926514,0,28,13,320,964,2344,NA,NA,NA
"249",2347167796,10352,7.01000022888184,1.6599999666214,1.94000005722046,3.41000008583069,0,19,32,195,676,2038,467,531,NA
"250",2347167796,10129,6.69999980926514,0.0199999995529652,2.74000000953674,3.94000005722046,0,1,48,206,705,2010,445,489,NA
"251",2347167796,10465,6.92000007629395,0.0700000002980232,1.41999995708466,5.42999982833862,0,1,24,284,720,2133,452,504,NA
"252",2347167796,22244,15.0799999237061,5.44999980926514,4.09999990463257,5.53000020980835,0,66,72,268,968,2670,NA,NA,NA
"253",2347167796,5472,3.61999988555908,0.0799999982118607,0.280000001192093,3.25999999046326,0,1,7,249,508,1882,556,602,NA
"254",2347167796,8247,5.44999980926514,0.790000021457672,0.860000014305115,3.78999996185303,0,11,16,206,678,1944,500,557,NA
"255",2347167796,6711,4.44000005722046,0,0,4.44000005722046,0,0,7,382,648,2346,465,514,NA
"256",2347167796,10999,7.26999998092651,0.680000007152557,1.80999994277954,4.78000020980835,0,11,43,269,1011,2198,NA,NA,NA
"257",2347167796,10080,6.75,1.85000002384186,1.52999997138977,3.38000011444092,0,23,26,208,761,2048,460,484,NA
